order_id,payment_method,amount
167,Wallet,3398.01
168,PayPal,531.79
169,PayPal,365.54
170,UPI,910.35
171,PayPal,2753.61
172,UPI,4147.93
173,Wallet,2034.81
174,UPI,1420.0
175,Card,1965.8
176,PayPal,1869.18
177,Card,202.14
178,Card,2357.99
179,PayPal,2743.7
180,UPI,566.95
181,UPI,1008.85
182,Card,816.09
183,Wallet,249.11
184,UPI,2921.69
185,UPI,1092.6
186,Wallet,2009.79
187,Wallet,2831.29
188,UPI,352.47
189,PayPal,2440.7
190,Card,1259.01
191,PayPal,1875.01
192,UPI,3247.2
193,Wallet,2364.51
194,Card,211.3
195,PayPal,2015.81
196,Card,1032.12
197,PayPal,792.48
198,PayPal,790.38
199,PayPal,1602.96
200,PayPal,634.64
201,Card,3517.71
202,UPI,2341.41
203,UPI,605.72
204,Card,2252.79
205,Card,3132.91
206,UPI,1369.58
207,PayPal,837.18
208,Card,473.78
209,PayPal,399.68
210,Wallet,1455.88
211,UPI,1226.4
212,Card,155.1
213,PayPal,460.07
214,Wallet,1653.58
215,Wallet,1276.64
216,PayPal,2314.81
217,Card,1715.57
218,Card,3262.51
219,Card,1618.02
220,PayPal,3000.86
221,Card,378.96
222,PayPal,3043.88
223,Card,4299.04
224,Card,2872.85
225,PayPal,287.74
226,Wallet,762.5
227,Card,1722.83
228,PayPal,2838.12
229,PayPal,1515.03
230,UPI,1457.6
231,PayPal,184.42
232,UPI,3465.46
233,PayPal,1424.66
234,Wallet,2957.77
235,UPI,1302.98
236,UPI,1180.65
237,PayPal,1007.4
238,PayPal,2246.01
239,Wallet,1679.04
240,Wallet,814.24
241,PayPal,280.9
242,UPI,2365.39
243,PayPal,1537.98
244,PayPal,3453.31
245,PayPal,494.98
246,Wallet,1168.89
247,Card,3304.72
248,Wallet,316.49
249,PayPal,1921.74
250,Wallet,2556.19
251,UPI,2455.34
252,UPI,1365.12
253,UPI,2383.65
254,Wallet,773.2
255,UPI,371.37
256,PayPal,2366.9
257,Wallet,2696.11
258,PayPal,268.99
259,UPI,2469.2
260,Card,3047.01
261,UPI,371.28
262,Card,3228.44
263,Card,571.34
264,Wallet,2863.92
265,Wallet,996.63
266,Wallet,2255.3
267,UPI,4012.58
268,UPI,3036.35
269,Card,109.74
270,Wallet,1956.2
271,Card,2042.24
272,Card,1711.89
273,Card,658.68
274,UPI,1671.79
275,Wallet,1234.49
276,PayPal,2751.54
277,Card,1650.69
278,UPI,3931.6
279,PayPal,3084.6
280,UPI,1273.9
281,Wallet,1473.35
282,Wallet,288.82
283,PayPal,838.45
284,Card,1082.25
285,PayPal,2747.44
286,UPI,1231.72
287,Wallet,1034.7
288,Card,2063.39
289,Wallet,140.83
290,UPI,190.2
291,Wallet,286.58
292,Card,3796.42
293,PayPal,1123.54
294,UPI,4137.55
295,Wallet,736.44
296,UPI,190.31
297,Wallet,1555.55
298,Card,454.31
299,Wallet,126.1
300,Card,2348.07
301,PayPal,1883.12
302,Card,3318.25
303,PayPal,581.52
304,UPI,5223.92
305,PayPal,722.22
306,PayPal,2182.82
307,PayPal,915.16
308,Wallet,1838.57
309,PayPal,4375.8
310,UPI,348.12
311,UPI,1245.73
312,Card,1002.81
313,PayPal,3453.72
314,Wallet,3895.12
315,PayPal,3777.21
316,PayPal,325.48
317,Card,3509.55
318,Card,584.64
319,PayPal,1272.92
320,Wallet,579.36
321,Card,1163.31
322,Card,1123.1
323,Card,2724.71
324,UPI,33.23
325,Card,3801.17
326,PayPal,140.45
327,PayPal,568.13
328,Wallet,3095.32
329,UPI,1654.68
330,Wallet,1297.18
331,UPI,3271.41
332,PayPal,2210.4
333,Wallet,2785.02
334,Card,2240.97
335,Wallet,1901.49
336,Wallet,1612.92
337,UPI,2869.44
338,Wallet,1993.21
339,PayPal,1054.57
340,Wallet,3070.02
341,UPI,449.59
342,PayPal,2494.17
343,UPI,4335.06
344,Wallet,452.9
345,Wallet,264.66
346,UPI,1606.33
347,Wallet,1228.33
348,Wallet,852.6
349,UPI,2351.14
350,Card,1354.48
351,UPI,1356.23
352,UPI,301.0
353,Card,35.72
354,UPI,2041.81
355,Card,2801.04
356,PayPal,3840.82
357,Card,2573.84
358,PayPal,2326.97
359,PayPal,1325.28
360,PayPal,1247.14
361,Card,506.88
362,Card,887.19
363,UPI,2211.08
364,PayPal,1460.35
365,PayPal,3441.67
366,UPI,5514.1
367,UPI,1615.15
368,Wallet,1708.61
369,PayPal,1170.99
370,PayPal,237.21
371,PayPal,4587.87
372,Card,195.41
373,Wallet,923.05
374,Card,952.45
375,Card,1951.28
376,Card,2143.95
377,PayPal,856.83
378,PayPal,1657.88
379,Wallet,1554.14
380,PayPal,1217.71
381,Card,1419.3
382,Card,2229.05
383,Wallet,3837.46
384,Card,2475.14
385,UPI,2272.78
386,UPI,497.39
387,Wallet,1940.76
388,UPI,1257.3
389,Wallet,93.76
390,Wallet,1694.85
391,Wallet,686.44
392,Card,2086.15
393,UPI,2110.27
394,PayPal,2228.97
395,PayPal,497.52
396,Card,1121.47
397,PayPal,1115.59
398,Wallet,2627.04
399,PayPal,115.52
400,Wallet,833.53
401,Wallet,2231.67
402,UPI,951.33
403,PayPal,326.18
404,Wallet,3693.54
405,UPI,384.02
406,Wallet,1449.5
407,Card,561.88
408,UPI,201.33
409,PayPal,2219.93
410,UPI,1003.23
411,Wallet,823.08
412,Card,3568.4
413,UPI,3748.37
414,Card,1193.28
415,PayPal,2255.41
416,PayPal,579.63
417,PayPal,567.42
418,Card,2380.14
419,Wallet,3368.38
420,Card,576.71
421,Wallet,5291.73
422,PayPal,482.02
423,Card,1859.64
424,Card,2642.42
425,UPI,2226.99
426,Card,683.88
427,PayPal,1636.56
428,Wallet,1514.28
429,Card,1060.66
430,Wallet,2736.6
431,PayPal,403.45
432,UPI,2666.47
433,Card,3263.61
434,Card,1113.84
435,Wallet,1098.5
436,Wallet,1089.27
437,Wallet,2899.84
438,Wallet,65.83
439,UPI,1688.93
440,UPI,200.0
441,UPI,2564.48
442,PayPal,705.24
443,PayPal,2614.1
444,PayPal,3022.58
445,UPI,1019.18
446,UPI,499.47
447,PayPal,3111.44
448,Card,979.2
449,Card,3191.71
450,Card,2396.41
451,UPI,2979.68
452,Card,1423.81
453,PayPal,1622.23
454,Wallet,2837.05
455,PayPal,3561.62
456,UPI,1608.11
457,UPI,141.02
458,UPI,2203.8
459,Card,1156.86
460,Wallet,2278.37
461,Wallet,2915.29
462,UPI,1866.82
463,Wallet,2045.22
464,Card,346.71
465,UPI,2671.1
466,UPI,1506.4
467,PayPal,2129.12
468,Card,2756.7
469,PayPal,2406.72
470,Wallet,2202.92
471,PayPal,352.62
472,Wallet,552.15
473,Wallet,1041.36
474,PayPal,112.7
475,PayPal,1303.21
476,Card,431.24
477,Wallet,408.02
478,Wallet,4042.71
479,UPI,755.05
480,Card,1128.49
481,Wallet,1764.58
482,Card,1427.8
483,UPI,890.8
484,Wallet,1329.81
485,PayPal,443.46
486,Wallet,337.57
487,Wallet,1550.7
488,Card,668.69
489,PayPal,804.5
490,Card,1904.63
491,UPI,983.28
492,Card,94.25
493,Wallet,394.02
494,Card,2690.88
495,Card,1637.12
496,Wallet,3482.86
497,Card,743.2
498,Card,2659.01
499,UPI,1569.33
500,Wallet,1171.59
501,Wallet,1558.48
502,Card,941.1
503,Wallet,330.23
504,UPI,933.72
505,Card,2068.78
506,PayPal,1653.54
507,Wallet,1514.51
508,Wallet,538.04
509,Wallet,827.88
510,PayPal,675.84
511,PayPal,371.17
512,Wallet,491.68
513,Card,2039.1
514,UPI,508.47
515,PayPal,5431.02
516,Wallet,1869.33
517,Card,2108.45
518,UPI,2506.83
519,Card,2560.11
520,Wallet,1680.3
521,Card,3142.18
522,UPI,910.08
523,Card,3518.05
524,UPI,2128.33
525,Wallet,966.9
526,UPI,6752.4
527,UPI,322.12
528,PayPal,2074.61
529,Wallet,895.58
530,Card,335.97
531,Wallet,472.22
532,Card,1850.88
533,UPI,398.31
534,PayPal,5172.77
535,UPI,381.98
536,UPI,2180.75
537,UPI,1956.41
538,UPI,2546.34
539,Wallet,2235.66
540,UPI,1450.04
541,PayPal,4692.88
542,UPI,2273.41
543,Wallet,567.48
544,Wallet,122.42
545,Card,1082.75
546,Wallet,1926.81
547,UPI,1258.38
548,Wallet,3688.68
549,Wallet,1582.7
550,PayPal,3172.53
551,PayPal,187.47
552,PayPal,764.08
553,UPI,810.0
554,UPI,859.57
555,Wallet,267.46
556,UPI,2493.58
557,PayPal,670.13
558,Card,2964.06
559,Card,131.52
560,UPI,1309.51
561,UPI,252.69
562,Wallet,950.28
563,Card,2484.75
564,PayPal,693.05
565,Card,1500.14
566,PayPal,1267.22
567,PayPal,687.36
568,Wallet,788.43
569,Card,556.94
570,Card,2743.77
571,Card,2184.76
572,PayPal,1123.54
573,UPI,2696.34
574,Wallet,816.97
575,PayPal,1888.62
576,PayPal,1234.76
577,UPI,207.3
578,Card,348.18
579,Wallet,252.51
580,Card,3623.32
581,UPI,3793.8
582,UPI,2428.17
583,Card,1837.06
584,UPI,2957.73
585,Wallet,1246.86
586,Card,3011.46
587,PayPal,1227.52
588,Wallet,2232.91
589,Card,912.48
590,PayPal,3000.44
591,Wallet,990.3
592,PayPal,3749.67
593,Card,1690.37
594,PayPal,1598.78
595,UPI,3457.78
596,PayPal,3324.71
597,Card,145.47
598,Wallet,3337.84
599,UPI,1841.1
600,UPI,724.68
601,PayPal,230.62
602,UPI,3786.86
603,Card,1395.82
604,PayPal,1211.73
605,Wallet,1962.84
606,UPI,752.53
607,PayPal,375.08
608,UPI,1246.23
609,Wallet,4388.39
610,PayPal,4520.32
611,PayPal,722.31
612,Card,1923.96
613,Wallet,3020.06
614,Wallet,870.39
615,PayPal,1536.9
616,UPI,612.85
617,Card,370.05
618,PayPal,1408.29
619,Card,1842.89
620,Wallet,2368.87
621,PayPal,1739.43
622,PayPal,824.58
623,PayPal,1126.87
624,PayPal,523.82
625,UPI,4188.02
626,PayPal,2239.2
627,PayPal,846.4
628,UPI,2033.19
629,UPI,3543.11
630,Card,3810.32
631,Wallet,4760.82
632,PayPal,459.88
633,Card,1531.75
634,Wallet,1738.65
635,UPI,499.42
636,PayPal,4008.58
637,Card,1774.26
638,UPI,3137.97
639,PayPal,549.87
640,PayPal,2193.14
641,Card,1802.87
642,PayPal,1677.03
643,Wallet,2587.82
644,UPI,1350.28
645,Card,1224.76
646,PayPal,4115.92
647,PayPal,4398.99
648,Card,702.27
649,PayPal,2774.19
650,PayPal,1001.04
651,PayPal,674.97
652,PayPal,178.03
653,Wallet,789.96
654,Wallet,2610.22
655,Card,185.23
656,Wallet,201.54
657,PayPal,2535.86
658,PayPal,4166.63
659,UPI,425.65
660,Wallet,1516.3
661,UPI,1579.58
662,UPI,1271.51
663,PayPal,1067.2
664,Wallet,1744.05
665,Wallet,2886.14
666,UPI,1039.99
667,Card,1444.53
668,UPI,3105.06
669,UPI,241.38
670,Wallet,319.96
671,Wallet,943.23
672,PayPal,2157.0
673,Wallet,1211.39
674,PayPal,2091.13
675,PayPal,2436.94
676,UPI,1592.86
677,Card,2428.76
678,UPI,120.57
679,Card,1386.08
680,UPI,1129.66
681,Wallet,954.63
682,Card,2743.29
683,Card,2834.67
684,UPI,3722.24
685,PayPal,910.95
686,Wallet,1423.88
687,Card,2124.72
688,PayPal,1448.12
689,PayPal,2333.89
690,Wallet,1068.27
691,Wallet,350.98
692,Card,2168.25
693,UPI,104.78
694,UPI,2205.45
695,UPI,1311.09
696,Wallet,2010.43
697,Card,1403.01
698,PayPal,423.93
699,PayPal,1697.65
700,UPI,384.21
701,Wallet,430.84
702,Card,302.99
703,UPI,701.5
704,Wallet,1074.29
705,Card,1138.46
706,Card,1759.92
707,UPI,1860.3
708,UPI,2642.02
709,PayPal,475.44
710,Card,2534.12
711,Wallet,3351.03
712,PayPal,1773.07
713,Card,1329.57
714,UPI,3528.96
715,Wallet,846.55
716,PayPal,3183.76
717,Wallet,2611.33
718,Card,88.59
719,UPI,873.76
720,PayPal,628.49
721,Wallet,647.8
722,UPI,2889.14
723,PayPal,3747.58
724,Wallet,2226.75
725,UPI,722.21
726,UPI,2826.36
727,PayPal,1952.39
728,Card,2300.3
729,Card,316.88
730,UPI,410.42
731,UPI,982.76
732,Card,1596.1
733,UPI,2639.23
734,Card,913.47
735,UPI,1305.33
736,UPI,2802.81
737,Card,125.64
738,UPI,637.38
739,PayPal,2632.05
740,Wallet,5014.65
741,Card,1114.44
742,Card,1345.44
743,UPI,2727.3
744,UPI,91.92
745,Wallet,1874.82
746,PayPal,305.37
747,PayPal,1307.46
748,Card,1512.85
749,PayPal,1527.69
750,Wallet,556.24
751,UPI,1737.69
752,PayPal,359.4
753,PayPal,919.28
754,UPI,709.02
755,Wallet,228.41
756,PayPal,498.96
757,PayPal,4275.03
758,UPI,1531.77
759,Card,1534.65
760,Wallet,1454.91
761,Wallet,4187.46
762,Wallet,2682.99
763,Card,2463.52
764,UPI,984.8
765,UPI,2974.62
766,Card,734.02
767,UPI,2105.55
768,Wallet,1957.32
769,Card,1251.93
770,UPI,1645.48
771,PayPal,3015.84
772,Wallet,2002.72
773,Wallet,1541.23
774,PayPal,655.68
775,UPI,2099.7
776,Wallet,3160.98
777,UPI,5156.87
778,Wallet,1231.75
779,PayPal,416.79
780,Card,6193.32
781,Wallet,1752.54
782,PayPal,468.73
783,Wallet,535.04
784,UPI,1543.41
785,PayPal,4659.11
786,UPI,1896.77
787,Card,781.38
788,Card,3576.56
789,PayPal,738.79
790,Card,334.38
791,PayPal,2414.1
792,Wallet,673.29
793,Wallet,949.52
794,Card,918.78
795,UPI,844.12
796,UPI,831.47
797,UPI,2083.68
798,PayPal,2997.33
799,Wallet,1655.73
800,PayPal,3457.77
801,Card,2759.84
802,Wallet,873.72
803,UPI,2251.57
804,Card,2651.66
805,Wallet,859.45
806,UPI,3691.48
807,PayPal,1479.19
808,PayPal,1959.14
809,PayPal,1538.24
810,UPI,966.97
811,Wallet,2578.18
812,Wallet,547.41
813,UPI,1722.66
814,Wallet,1200.57
815,Card,2028.39
816,PayPal,2716.83
817,PayPal,1610.22
818,Wallet,3083.94
819,Wallet,2704.87
820,Wallet,1692.77
821,UPI,782.8
822,PayPal,1531.02
823,PayPal,222.48
824,UPI,1893.91
825,Card,980.58
826,UPI,405.44
827,Card,2182.77
828,Wallet,2429.08
829,Wallet,2389.19
830,PayPal,45.16
831,PayPal,6062.15
832,PayPal,2552.44
833,PayPal,3478.66
834,Wallet,1056.82
835,UPI,2318.88
836,UPI,1245.4
837,Card,2208.5
838,UPI,2145.26
839,UPI,1083.26
840,Wallet,3545.73
841,PayPal,477.34
842,Wallet,1784.76
843,Wallet,303.39
844,Card,107.34
845,UPI,220.29
846,Wallet,1431.43
847,Card,405.77
848,Card,3462.63
849,UPI,1404.7
850,Card,342.34
851,UPI,652.36
852,PayPal,634.18
853,UPI,2744.73
854,UPI,1818.98
855,Card,1607.32
856,UPI,855.22
857,Card,538.31
858,Card,276.2
859,Card,2057.52
860,Wallet,1108.56
861,PayPal,3118.07
862,Wallet,1933.26
863,Card,2121.13
864,PayPal,905.68
865,Wallet,3092.19
866,UPI,855.14
867,Card,2832.54
868,Card,1018.75
869,Wallet,275.17
870,UPI,2318.66
871,Card,746.56
872,PayPal,3323.04
873,Wallet,2551.78
874,Wallet,1289.34
875,Wallet,2065.75
876,UPI,1958.53
877,PayPal,2768.4
878,UPI,390.16
879,UPI,779.43
880,UPI,435.28
881,Card,228.48
882,UPI,2065.55
883,Card,2031.6
884,PayPal,3098.52
885,UPI,193.86
886,Card,59.79
887,PayPal,1757.05
888,Card,632.88
889,Wallet,1294.65
890,Card,2816.83
891,UPI,1190.74
892,PayPal,1570.96
893,UPI,157.4
894,Wallet,126.54
895,Card,1545.53
896,Wallet,1990.05
897,Card,209.43
898,UPI,1767.95
899,Card,435.63
900,Card,486.36
901,PayPal,1514.72
902,PayPal,1766.46
903,UPI,367.16
904,Wallet,1785.79
905,Card,3366.27
906,Wallet,1860.57
907,Wallet,293.26
908,Wallet,331.23
909,UPI,2160.69
910,UPI,1354.47
911,Wallet,135.46
912,UPI,305.99
913,Wallet,2078.77
914,PayPal,2679.36
915,PayPal,2362.06
916,Card,1387.25
917,Wallet,487.6
918,Wallet,2427.94
919,Card,1486.83
920,Wallet,1685.31
921,Wallet,1656.25
922,Card,3827.2
923,Card,1374.04
924,UPI,1928.58
925,Wallet,2254.47
926,Card,3539.48
927,Wallet,1788.11
928,Card,3367.4
929,Wallet,2002.14
930,PayPal,5194.44
931,UPI,2381.07
932,PayPal,1816.64
933,Card,2816.03
934,UPI,4189.35
935,UPI,1278.24
936,Wallet,1664.11
937,PayPal,1325.89
938,Card,2132.17
939,UPI,3568.4
940,PayPal,499.27
941,Card,1067.39
942,PayPal,2106.04
943,PayPal,1110.85
944,UPI,373.62
945,UPI,1414.32
946,Wallet,623.68
947,Card,1066.49
948,PayPal,2060.65
949,Card,887.46
950,PayPal,2027.68
951,UPI,1390.94
952,PayPal,1141.3
953,UPI,2176.17
954,PayPal,1161.21
955,UPI,1249.49
956,UPI,792.4
957,Wallet,2785.07
958,UPI,864.75
959,UPI,73.05
960,UPI,730.17
961,UPI,41.22
962,PayPal,1992.66
963,UPI,2826.73
964,Card,822.83
965,Card,96.34
966,Card,2084.24
967,UPI,1243.32
968,UPI,618.9
969,PayPal,371.54
970,UPI,1432.65
971,Card,4638.51
972,UPI,1756.36
973,UPI,742.99
974,Wallet,1104.09
975,UPI,1708.87
976,Card,1078.75
977,PayPal,1726.45
978,UPI,391.61
979,UPI,1560.34
980,UPI,425.43
981,Card,2106.3
982,UPI,1263.99
983,UPI,2568.06
984,Card,552.41
985,Wallet,3232.9
986,Card,2317.39
987,UPI,2130.8
988,UPI,2612.5
989,UPI,2209.21
990,UPI,4926.79
991,Wallet,2196.02
992,Wallet,679.6
993,UPI,601.64
994,Card,907.41
995,Wallet,676.27
996,PayPal,4132.76
997,Wallet,1978.47
998,Wallet,202.75
999,Card,1478.16
1000,Wallet,5897.13
1001,Wallet,2894.58
1002,UPI,3933.02
1003,UPI,652.65
1004,PayPal,1058.88
1005,Wallet,2221.38
1006,UPI,352.58
1007,Card,409.59
1008,PayPal,1034.41
1009,Card,486.03
1010,Wallet,3083.93
1011,Card,536.7
1012,Wallet,580.94
1013,UPI,174.32
1014,Card,1365.17
1015,UPI,4855.81
1016,Card,1254.72
1017,Wallet,289.65
1018,Wallet,2980.35
1019,Card,1322.62
1020,Card,1712.54
1021,Wallet,3234.26
1022,Wallet,2301.19
1023,Card,2780.41
1024,PayPal,1349.85
1025,Wallet,566.0
1026,Wallet,2555.44
1027,Wallet,472.35
1028,UPI,1451.86
1029,Card,3425.58
1030,Card,5987.36
1031,UPI,660.54
1032,UPI,695.3
1033,PayPal,174.32
1034,PayPal,1901.93
1035,Wallet,433.57
1036,Card,2468.83
1037,UPI,2006.73
1038,PayPal,3340.28
1039,Card,526.03
1040,Card,1852.89
1041,PayPal,388.68
1042,Wallet,1911.3
1043,Wallet,1365.57
1044,UPI,1697.89
1045,Card,165.84
1046,Card,1423.44
1047,Card,31.66
1048,PayPal,383.74
1049,Card,136.14
1050,Wallet,1408.22
1051,UPI,1407.65
1052,UPI,59.46
1053,Wallet,2921.48
1054,Wallet,529.38
1055,UPI,1997.13
1056,Wallet,426.06
1057,UPI,3737.33
1058,UPI,225.72
1059,Card,1437.17
1060,Card,66.99
1061,PayPal,2657.08
1062,Card,1387.28
1063,Wallet,1099.44
1064,Wallet,2071.26
1065,PayPal,2635.72
1066,Wallet,658.46
1067,PayPal,2130.37
1068,Wallet,2848.33
1069,PayPal,1371.54
1070,UPI,412.17
1071,Card,2391.69
1072,Card,1911.9
1073,Card,103.4
1074,Wallet,760.82
1075,UPI,1091.72
1076,UPI,3098.74
1077,Wallet,365.85
1078,Wallet,3940.12
1079,UPI,2611.92
1080,Wallet,2312.06
1081,PayPal,721.06
1082,Card,2594.72
1083,Wallet,2189.56
1084,Wallet,1792.67
1085,UPI,433.15
1086,Card,3620.1
1087,Wallet,3061.21
1088,Wallet,3337.18
1089,UPI,984.22
1090,PayPal,2119.59
1091,Card,1201.1
1092,Wallet,1836.04
1093,UPI,1666.62
1094,Wallet,1880.75
1095,Card,4507.01
1096,UPI,2621.36
1097,Card,3077.99
1098,UPI,1821.48
1099,UPI,584.22
1100,Wallet,2566.58
1101,Wallet,87.41
1102,Card,1108.77
1103,UPI,4173.01
1104,PayPal,1606.04
1105,Wallet,2283.45
1106,Wallet,938.62
1107,PayPal,2100.57
1108,PayPal,4997.56
1109,PayPal,922.03
1110,Wallet,2490.78
1111,Wallet,145.17
1112,Wallet,1278.35
1113,PayPal,1457.97
1114,Wallet,1486.09
1115,Card,1333.45
1116,Card,1988.04
1117,PayPal,5586.21
1118,UPI,1547.96
1119,Card,1107.19
1120,UPI,2490.1
1121,PayPal,627.38
1122,UPI,364.94
1123,PayPal,945.26
1124,UPI,1113.89
1125,PayPal,821.85
1126,UPI,1186.06
1127,PayPal,3327.31
1128,UPI,4966.38
1129,UPI,232.81
1130,Wallet,2794.5
1131,Card,1936.95
1132,PayPal,552.43
1133,Card,3130.95
1134,Wallet,1972.12
1135,Wallet,1230.36
1136,PayPal,1159.8
1137,PayPal,1461.33
1138,Card,538.82
1139,Card,4381.1
1140,Wallet,1134.96
1141,UPI,2308.25
1142,Card,157.45
1143,PayPal,950.28
1144,Wallet,2755.48
1145,UPI,1791.1
1146,Wallet,825.26
1147,Wallet,550.78
1148,UPI,3118.95
1149,Wallet,1541.65
1150,UPI,771.12
1151,Wallet,1621.14
1152,Wallet,2624.97
1153,Wallet,1702.69
1154,PayPal,347.65
1155,UPI,2609.43
1156,UPI,1716.95
1157,Card,1495.44
1158,UPI,1895.3
1159,Card,1595.53
1160,UPI,2070.66
1161,Wallet,1070.97
1162,UPI,1084.29
1163,PayPal,263.64
1164,UPI,1524.21
1165,Card,2726.47
1166,UPI,1588.46
1167,UPI,866.84
1168,Wallet,3221.2
1169,Card,1851.46
1170,PayPal,913.91
1171,UPI,7.44
1172,Wallet,359.68
1173,UPI,2146.98
1174,Card,1477.54
1175,Wallet,1529.26
1176,UPI,712.02
1177,Card,2590.25
1178,Card,2181.62
1179,Wallet,3234.86
1180,UPI,4769.07
1181,Wallet,2352.08
1182,Card,523.76
1183,Card,658.2
1184,Wallet,1493.58
1185,PayPal,502.9
1186,UPI,1909.35
1187,Wallet,1266.3
1188,UPI,3886.45
1189,UPI,1409.08
1190,UPI,148.22
1191,UPI,2063.69
1192,PayPal,3097.35
1193,UPI,4082.49
1194,Card,739.44
1195,PayPal,2438.51
1196,Wallet,732.62
1197,Card,2786.13
1198,UPI,550.7
1199,PayPal,886.11
1200,Wallet,2015.43
1201,PayPal,21.03
1202,PayPal,2987.95
1203,Card,318.76
1204,UPI,2494.41
1205,Card,743.58
1206,Card,1671.15
1207,Card,994.78
1208,Card,1553.24
1209,PayPal,440.76
1210,UPI,1453.92
1211,Wallet,494.45
1212,Wallet,563.38
1213,UPI,1964.61
1214,Wallet,825.3
1215,UPI,994.9
1216,Wallet,490.67
1217,UPI,818.21
1218,UPI,1131.84
1219,Card,330.12
1220,Wallet,3390.26
1221,PayPal,448.59
1222,Card,731.84
1223,Wallet,1419.06
1224,Card,477.64
1225,PayPal,407.38
1226,PayPal,4127.2
1227,PayPal,3609.78
1228,UPI,2390.05
1229,Wallet,1622.71
1230,UPI,1414.32
1231,Wallet,3200.26
1232,Card,3246.29
1233,Wallet,2181.9
1234,UPI,2441.33
1235,PayPal,1851.74
1236,UPI,468.06
1237,Card,1754.46
1238,Wallet,2840.5
1239,Card,3830.88
1240,UPI,823.13
1241,Card,1608.16
1242,Card,3076.9
1243,Wallet,1428.43
1244,UPI,2094.73
1245,Wallet,3052.08
1246,UPI,2083.81
1247,UPI,1658.98
1248,Wallet,2598.79
1249,Wallet,244.79
1250,UPI,1472.99
1251,UPI,206.36
1252,PayPal,2220.39
1253,Wallet,1470.28
1254,Wallet,567.1
1255,PayPal,1651.17
1256,Card,2413.96
1257,Wallet,90.47
