order_id,return_reason
873,Damaged
875,Changed Mind
884,Damaged
896,Wrong Size
899,Damaged
907,Damaged
915,Changed Mind
917,Changed Mind
922,Changed Mind
928,Damaged
930,Changed Mind
934,Damaged
936,Wrong Size
939,Damaged
942,Damaged
947,Changed Mind
952,Changed Mind
955,Changed Mind
959,Wrong Size
966,Wrong Size
971,Changed Mind
978,Wrong Size
990,Wrong Size
993,Damaged
997,Wrong Size
998,Wrong Size
999,Damaged
1001,Changed Mind
1002,Wrong Size
1003,Wrong Size
1005,Wrong Size
1018,Damaged
1020,Wrong Size
1022,Damaged
1024,Wrong Size
1030,Damaged
1031,Wrong Size
1032,Changed Mind
1044,Damaged
1049,Wrong Size
1056,Changed Mind
1064,Changed Mind
1065,Wrong Size
1066,Wrong Size
1067,Damaged
1068,Changed Mind
1075,Wrong Size
1076,Damaged
1085,Damaged
1086,Damaged
1087,Changed Mind
1092,Damaged
1099,Changed Mind
1101,Damaged
1107,Changed Mind
1108,Wrong Size
1109,Damaged
1111,Changed Mind
1113,Changed Mind
1114,Wrong Size
1115,Changed Mind
1129,Changed Mind
1131,Damaged
1132,Changed Mind
1133,Damaged
1138,Damaged
1139,Wrong Size
1147,Wrong Size
1148,Changed Mind
1149,Damaged
1153,Damaged
1154,Wrong Size
1172,Damaged
1174,Damaged
1175,Wrong Size
1181,Damaged
1182,Changed Mind
1187,Wrong Size
1195,Damaged
1196,Damaged
1197,Damaged
1205,Changed Mind
1206,Changed Mind
1217,Damaged
1225,Changed Mind
1226,Damaged
1230,Changed Mind
1231,Damaged
1237,Damaged
1239,Changed Mind
1246,Changed Mind
1250,Damaged
1257,Damaged
1258,Wrong Size
1261,Wrong Size
1262,Changed Mind
1279,Damaged
1289,Wrong Size
1294,Changed Mind
1295,Damaged
1296,Damaged
1301,Damaged
1306,Changed Mind
1307,Wrong Size
1311,Changed Mind
1316,Changed Mind
1320,Wrong Size
1323,Damaged
1327,Wrong Size
1328,Wrong Size
1329,Wrong Size
1330,Changed Mind
1332,Wrong Size
1341,Changed Mind
1342,Changed Mind
1350,Damaged
1351,Damaged
1354,Damaged
1356,Changed Mind
1366,Wrong Size
1368,Wrong Size
1373,Changed Mind
1376,Damaged
1378,Wrong Size
1380,Changed Mind
1383,Changed Mind
1386,Wrong Size
1393,Damaged
1394,Changed Mind
1396,Changed Mind
1397,Changed Mind
1398,Wrong Size
1400,Wrong Size
1403,Damaged
1405,Changed Mind
1406,Wrong Size
1408,Damaged
1411,Damaged
1421,Damaged
1426,Damaged
1427,Wrong Size
1431,Damaged
1436,Wrong Size
1442,Wrong Size
1448,Changed Mind
1449,Damaged
1451,Damaged
1452,Changed Mind
1460,Wrong Size
1465,Damaged
1466,Damaged
1474,Changed Mind
1475,Changed Mind
1476,Damaged
1478,Damaged
1485,Changed Mind
1487,Damaged
1490,Damaged
1492,Damaged
1493,Wrong Size
1500,Damaged
1501,Wrong Size
1503,Damaged
1507,Damaged
1520,Wrong Size
1522,Wrong Size
1523,Damaged
1531,Wrong Size
1537,Wrong Size
1538,Changed Mind
1539,Changed Mind
1542,Wrong Size
1543,Damaged
1550,Damaged
1551,Damaged
1557,Damaged
1558,Damaged
1559,Changed Mind
1568,Damaged
1570,Changed Mind
1581,Wrong Size
1582,Wrong Size
1583,Changed Mind
1584,Wrong Size
1586,Changed Mind
1588,Damaged
1596,Damaged
1598,Changed Mind
1602,Wrong Size
1603,Changed Mind
1605,Wrong Size
1613,Wrong Size
1615,Changed Mind
1616,Changed Mind
1620,Wrong Size
1621,Damaged
1629,Damaged
1630,Wrong Size
1633,Damaged
1636,Wrong Size
1639,Wrong Size
1642,Damaged
1645,Damaged
1650,Damaged
1652,Changed Mind
1657,Damaged
1666,Wrong Size
1671,Wrong Size
1674,Wrong Size
1683,Changed Mind
1685,Wrong Size
1691,Changed Mind
1692,Changed Mind
1699,Damaged
1706,Changed Mind
1707,Damaged
1709,Wrong Size
1713,Wrong Size
1714,Changed Mind
1715,Damaged
1718,Changed Mind
1720,Wrong Size
1723,Wrong Size
1725,Wrong Size
1727,Damaged
1734,Damaged
1735,Changed Mind
1736,Wrong Size
1743,Wrong Size
1753,Damaged
1754,Damaged
1756,Damaged
1761,Changed Mind
1769,Damaged
1774,Changed Mind
1793,Changed Mind
1794,Damaged
1795,Damaged
1796,Damaged
1800,Changed Mind
1805,Wrong Size
1818,Damaged
1820,Changed Mind
1822,Damaged
1825,Wrong Size
1831,Changed Mind
1832,Wrong Size
1834,Damaged
1837,Wrong Size
1843,Damaged
1844,Wrong Size
1847,Changed Mind
1850,Damaged
1853,Changed Mind
1855,Changed Mind
1856,Wrong Size
1863,Damaged
1865,Changed Mind
1867,Damaged
1871,Wrong Size
1872,Damaged
1877,Changed Mind
1886,Damaged
1896,Changed Mind
1902,Changed Mind
1903,Damaged
1905,Changed Mind
1912,Damaged
1914,Changed Mind
1919,Wrong Size
1923,Damaged
1937,Changed Mind
1939,Wrong Size
1950,Damaged
1955,Changed Mind
1957,Changed Mind
1961,Wrong Size
1964,Damaged
1968,Wrong Size
1977,Changed Mind
1978,Damaged
1981,Wrong Size
1983,Damaged
1987,Changed Mind
1994,Damaged
2003,Wrong Size
2004,Wrong Size
2007,Wrong Size
2013,Changed Mind
2016,Damaged
2023,Damaged
2028,Wrong Size
2032,Wrong Size
2033,Wrong Size
2035,Changed Mind
2045,Damaged
2047,Wrong Size
2050,Damaged
2055,Wrong Size
2056,Damaged
2064,Wrong Size
2072,Wrong Size
2073,Damaged
2074,Wrong Size
2091,Damaged
2097,Wrong Size
2100,Changed Mind
2112,Wrong Size
2114,Changed Mind
2119,Damaged
2121,Changed Mind
2122,Damaged
2129,Changed Mind
2130,Wrong Size
2134,Damaged
2138,Damaged
2139,Wrong Size
2143,Wrong Size
2150,Damaged
2153,Changed Mind
2154,Changed Mind
2156,Damaged
2162,Wrong Size
2164,Wrong Size
2166,Damaged
2171,Damaged
2178,Changed Mind
2180,Damaged
2182,Changed Mind
2183,Damaged
2188,Damaged
2191,Changed Mind
2193,Wrong Size
2198,Wrong Size
2204,Changed Mind
2208,Wrong Size
2214,Damaged
2215,Damaged
2227,Changed Mind
2228,Wrong Size
2231,Wrong Size
2237,Wrong Size
2239,Damaged
2240,Changed Mind
2243,Changed Mind
2248,Changed Mind
2249,Changed Mind
2252,Changed Mind
2254,Changed Mind
2259,Changed Mind
2281,Changed Mind
2291,Damaged
2293,Damaged
2299,Changed Mind
2308,Damaged
2310,Wrong Size
2312,Changed Mind
2317,Wrong Size
2322,Changed Mind
2324,Changed Mind
2326,Wrong Size
2332,Changed Mind
2336,Changed Mind
2337,Wrong Size
2338,Damaged
2352,Changed Mind
2354,Wrong Size
2355,Wrong Size
2356,Damaged
2357,Wrong Size
2366,Changed Mind
2367,Changed Mind
2370,Damaged
2372,Damaged
2374,Wrong Size
2375,Wrong Size
2377,Damaged
2390,Changed Mind
2393,Damaged
2394,Damaged
2398,Damaged
2408,Damaged
2415,Wrong Size
2429,Changed Mind
2430,Changed Mind
2442,Damaged
2445,Wrong Size
2447,Damaged
2454,Wrong Size
2462,Damaged
2463,Damaged
2468,Damaged
2473,Damaged
2482,Damaged
2484,Wrong Size
2485,Wrong Size
2486,Damaged
2487,Changed Mind
2490,Damaged
2491,Damaged
2495,Changed Mind
2498,Damaged
2500,Changed Mind
2512,Damaged
2513,Wrong Size
2514,Changed Mind
2517,Changed Mind
2521,Wrong Size
2523,Damaged
2536,Changed Mind
2540,Changed Mind
2554,Changed Mind
2563,Changed Mind
2564,Damaged
2566,Damaged
2571,Changed Mind
2573,Damaged
2581,Damaged
2583,Damaged
2585,Damaged
2587,Wrong Size
2592,Changed Mind
2593,Wrong Size
2601,Changed Mind
2609,Changed Mind
2614,Damaged
2617,Damaged
2619,Damaged
2636,Changed Mind
2643,Damaged
2648,Changed Mind
2650,Damaged
2651,Changed Mind
2659,Damaged
2664,Damaged
2668,Damaged
2673,Changed Mind
2674,Damaged
2680,Wrong Size
2681,Wrong Size
2683,Wrong Size
2685,Changed Mind
2700,Changed Mind
2707,Changed Mind
2710,Changed Mind
2711,Wrong Size
2716,Changed Mind
2721,Damaged
2727,Wrong Size
2728,Damaged
2733,Damaged
2738,Wrong Size
2751,Changed Mind
2752,Damaged
2756,Changed Mind
2758,Wrong Size
2759,Changed Mind
2765,Wrong Size
2777,Damaged
2778,Changed Mind
2780,Damaged
2784,Damaged
2791,Wrong Size
2796,Damaged
2797,Changed Mind
2798,Changed Mind
2805,Changed Mind
2807,Wrong Size
2808,Damaged
2811,Wrong Size
2817,Changed Mind
2818,Changed Mind
2819,Damaged
2822,Changed Mind
2825,Damaged
2826,Damaged
2828,Damaged
2829,Damaged
2831,Damaged
2833,Damaged
2834,Changed Mind
2835,Changed Mind
2841,Damaged
2843,Changed Mind
2847,Wrong Size
2849,Changed Mind
2852,Wrong Size
2853,Wrong Size
2854,Wrong Size
2855,Changed Mind
2865,Damaged
2870,Changed Mind
2872,Damaged
2874,Damaged
2879,Changed Mind
2884,Wrong Size
2890,Damaged
2894,Damaged
2896,Damaged
2898,Wrong Size
2909,Damaged
2910,Damaged
2913,Damaged
2914,Damaged
2916,Damaged
2920,Changed Mind
2922,Changed Mind
2925,Damaged
2926,Damaged
2928,Changed Mind
2930,Damaged
2934,Damaged
2938,Wrong Size
2940,Wrong Size
2941,Damaged
2942,Wrong Size
2946,Wrong Size
2947,Changed Mind
2948,Changed Mind
2949,Wrong Size
2953,Changed Mind
2954,Damaged
2955,Damaged
2956,Wrong Size
2960,Wrong Size
2965,Wrong Size
2968,Changed Mind
2969,Damaged
2971,Changed Mind
2973,Wrong Size
2975,Changed Mind
2977,Damaged
2980,Wrong Size
3000,Damaged
3006,Wrong Size
3015,Wrong Size
3017,Changed Mind
3020,Wrong Size
3021,Damaged
3028,Wrong Size
3031,Changed Mind
3034,Wrong Size
3037,Wrong Size
3038,Wrong Size
3040,Changed Mind
3042,Wrong Size
3044,Wrong Size
3046,Changed Mind
3050,Damaged
3053,Wrong Size
3054,Damaged
3057,Changed Mind
3059,Damaged
3060,Damaged
3071,Wrong Size
3076,Changed Mind
3077,Wrong Size
3087,Changed Mind
3095,Wrong Size
3097,Damaged
3098,Damaged
3105,Wrong Size
3110,Wrong Size
3111,Wrong Size
3115,Wrong Size
3116,Damaged
3118,Damaged
3125,Changed Mind
3128,Damaged
3132,Changed Mind
3140,Damaged
3144,Damaged
3153,Changed Mind
3156,Damaged
3161,Damaged
3171,Changed Mind
3172,Damaged
3175,Wrong Size
3193,Damaged
3200,Wrong Size
3202,Damaged
3203,Damaged
3206,Wrong Size
3211,Changed Mind
3218,Damaged
3219,Changed Mind
3229,Damaged
3231,Changed Mind
3234,Changed Mind
3236,Damaged
3249,Changed Mind
3259,Damaged
3260,Wrong Size
3276,Damaged
3279,Changed Mind
3280,Wrong Size
3287,Damaged
3291,Changed Mind
3293,Wrong Size
3294,Changed Mind
3297,Wrong Size
3303,Changed Mind
3308,Wrong Size
3311,Changed Mind
3312,Changed Mind
3313,Wrong Size
3315,Damaged
3316,Changed Mind
3322,Damaged
3323,Wrong Size
3330,Damaged
3337,Wrong Size
3338,Wrong Size
3340,Changed Mind
3343,Wrong Size
3349,Changed Mind
3353,Damaged
3355,Wrong Size
3358,Wrong Size
3360,Damaged
3363,Damaged
3365,Wrong Size
3367,Changed Mind
3368,Wrong Size
3379,Damaged
3382,Changed Mind
3387,Wrong Size
3393,Wrong Size
3396,Wrong Size
3405,Wrong Size
3408,Damaged
3413,Changed Mind
3414,Wrong Size
3418,Damaged
3422,Changed Mind
3424,Damaged
3443,Damaged
3444,Damaged
3445,Damaged
3446,Damaged
3449,Changed Mind
3455,Damaged
3459,Wrong Size
3460,Damaged
3462,Changed Mind
3463,Wrong Size
3468,Wrong Size
3470,Wrong Size
3475,Damaged
3481,Wrong Size
3484,Changed Mind
3489,Changed Mind
3491,Damaged
3495,Changed Mind
3497,Damaged
3503,Wrong Size
3509,Damaged
3514,Damaged
3515,Wrong Size
3517,Changed Mind
3521,Changed Mind
3527,Changed Mind
3528,Changed Mind
3529,Damaged
3533,Damaged
3537,Damaged
3538,Damaged
3539,Damaged
3541,Wrong Size
3542,Damaged
3543,Damaged
3547,Wrong Size
3548,Changed Mind
3550,Changed Mind
3556,Changed Mind
3560,Damaged
3564,Wrong Size
3565,Wrong Size
3567,Damaged
3568,Damaged
3569,Changed Mind
3572,Damaged
3576,Wrong Size
3579,Damaged
3584,Wrong Size
3586,Damaged
3590,Damaged
3593,Changed Mind
3597,Damaged
3604,Wrong Size
3607,Changed Mind
3613,Changed Mind
3623,Wrong Size
3624,Damaged
3625,Wrong Size
3627,Wrong Size
3628,Damaged
3630,Damaged
3633,Wrong Size
3637,Damaged
3638,Damaged
3639,Changed Mind
3645,Wrong Size
3648,Damaged
3650,Wrong Size
3658,Wrong Size
3659,Changed Mind
3660,Changed Mind
3661,Wrong Size
3667,Wrong Size
3669,Changed Mind
3680,Changed Mind
3688,Changed Mind
3691,Wrong Size
3692,Damaged
3706,Wrong Size
3718,Wrong Size
3726,Changed Mind
3728,Changed Mind
3731,Wrong Size
3734,Damaged
3738,Damaged
3744,Wrong Size
3750,Wrong Size
3754,Wrong Size
3756,Damaged
3760,Changed Mind
3762,Changed Mind
3763,Changed Mind
3764,Wrong Size
3765,Changed Mind
3767,Wrong Size
3773,Damaged
3783,Wrong Size
3784,Damaged
3787,Wrong Size
3789,Wrong Size
3792,Changed Mind
3796,Damaged
3797,Changed Mind
3800,Changed Mind
3804,Changed Mind
3806,Damaged
3810,Wrong Size
3812,Wrong Size
3813,Damaged
3826,Damaged
3831,Changed Mind
3832,Changed Mind
3841,Damaged
3854,Changed Mind
3858,Wrong Size
3860,Wrong Size
3863,Damaged
3870,Damaged
3872,Changed Mind
3873,Damaged
3876,Damaged
3877,Damaged
3883,Wrong Size
3884,Damaged
3886,Changed Mind
3898,Changed Mind
3903,Wrong Size
3905,Changed Mind
3909,Changed Mind
3910,Wrong Size
3916,Changed Mind
3921,Changed Mind
3922,Wrong Size
3924,Damaged
3927,Changed Mind
3932,Wrong Size
3937,Wrong Size
3938,Damaged
3939,Damaged
3952,Wrong Size
3959,Wrong Size
3961,Wrong Size
3969,Changed Mind
3976,Damaged
3985,Changed Mind
3986,Changed Mind
3990,Wrong Size
3994,Wrong Size
3997,Wrong Size
4000,Damaged
4003,Wrong Size
4006,Changed Mind
4007,Wrong Size
4012,Damaged
4021,Wrong Size
4031,Wrong Size
4032,Changed Mind
4033,Damaged
4038,Damaged
4039,Changed Mind
4040,Wrong Size
4059,Changed Mind
4063,Damaged
4065,Wrong Size
4068,Wrong Size
4073,Changed Mind
4078,Wrong Size
4081,Changed Mind
4084,Wrong Size
4092,Changed Mind
4096,Changed Mind
4097,Changed Mind
4098,Damaged
4099,Damaged
4100,Changed Mind
4101,Changed Mind
4106,Damaged
4116,Damaged
4117,Changed Mind
4122,Damaged
4128,Wrong Size
4130,Wrong Size
4131,Wrong Size
4132,Wrong Size
4136,Damaged
4140,Wrong Size
4142,Changed Mind
4146,Wrong Size
4155,Wrong Size
4157,Damaged
4158,Wrong Size
4159,Wrong Size
4160,Wrong Size
4168,Damaged
4169,Changed Mind
4176,Wrong Size
4177,Wrong Size
4179,Wrong Size
4180,Changed Mind
4187,Damaged
4189,Wrong Size
4192,Damaged
4193,Damaged
4200,Wrong Size
4203,Changed Mind
4208,Changed Mind
4210,Wrong Size
4215,Wrong Size
4216,Changed Mind
4218,Damaged
4221,Changed Mind
4225,Wrong Size
4228,Wrong Size
4230,Changed Mind
4237,Wrong Size
4239,Wrong Size
4241,Changed Mind
4250,Wrong Size
4251,Damaged
4263,Damaged
4264,Changed Mind
4265,Changed Mind
4293,Changed Mind
4295,Damaged
4300,Damaged
4303,Wrong Size
4308,Damaged
4317,Damaged
4318,Wrong Size
4333,Damaged
4337,Changed Mind
4342,Damaged
4344,Damaged
4345,Changed Mind
4346,Damaged
4356,Changed Mind
4357,Changed Mind
4362,Changed Mind
4365,Damaged
4367,Changed Mind
4369,Wrong Size
4375,Changed Mind
4377,Wrong Size
4380,Wrong Size
4384,Changed Mind
4385,Damaged
4390,Damaged
4393,Damaged
4398,Changed Mind
4404,Damaged
4406,Changed Mind
4407,Changed Mind
4410,Changed Mind
4411,Damaged
4412,Damaged
4414,Damaged
4416,Damaged
4421,Damaged
4431,Wrong Size
4435,Changed Mind
4436,Wrong Size
4444,Changed Mind
4448,Damaged
4449,Wrong Size
4459,Changed Mind
4471,Wrong Size
4473,Damaged
4476,Damaged
4479,Wrong Size
4480,Changed Mind
4482,Damaged
4483,Damaged
4485,Damaged
4488,Changed Mind
4489,Damaged
4499,Wrong Size
4500,Damaged
4503,Damaged
4505,Damaged
4520,Changed Mind
4526,Wrong Size
4530,Wrong Size
4533,Changed Mind
4547,Damaged
4548,Wrong Size
4553,Wrong Size
4557,Damaged
4560,Damaged
4563,Changed Mind
4582,Wrong Size
4583,Changed Mind
4586,Changed Mind
4587,Changed Mind
4591,Damaged
4592,Wrong Size
4593,Changed Mind
4597,Damaged
4598,Wrong Size
4600,Wrong Size
4604,Damaged
4611,Changed Mind
4621,Changed Mind
4623,Damaged
4627,Changed Mind
4633,Changed Mind
4635,Changed Mind
4638,Wrong Size
4643,Wrong Size
4644,Changed Mind
4647,Wrong Size
4652,Wrong Size
4655,Wrong Size
4660,Damaged
4663,Wrong Size
4665,Wrong Size
4668,Damaged
4669,Changed Mind
4670,Wrong Size
4673,Wrong Size
4676,Wrong Size
4678,Changed Mind
4683,Damaged
4684,Damaged
4685,Damaged
4688,Wrong Size
4695,Wrong Size
4697,Changed Mind
4698,Changed Mind
4699,Changed Mind
4709,Damaged
4713,Wrong Size
4715,Changed Mind
4720,Changed Mind
4721,Damaged
4735,Wrong Size
4746,Damaged
4752,Changed Mind
4754,Changed Mind
4757,Wrong Size
4764,Changed Mind
4766,Changed Mind
4769,Damaged
4771,Damaged
4773,Changed Mind
4775,Changed Mind
4788,Wrong Size
4789,Damaged
4790,Wrong Size
4791,Damaged
4796,Changed Mind
4800,Damaged
4821,Wrong Size
4827,Changed Mind
4829,Changed Mind
4830,Wrong Size
4831,Damaged
4833,Changed Mind
4835,Damaged
4837,Damaged
4840,Damaged
4842,Changed Mind
4844,Damaged
4847,Changed Mind
4849,Wrong Size
4854,Damaged
4858,Damaged
4864,Damaged
4868,Changed Mind
4869,Changed Mind
4875,Wrong Size
4876,Damaged
4880,Changed Mind
4882,Changed Mind
4884,Wrong Size
4888,Damaged
4889,Wrong Size
4892,Damaged
4896,Damaged
4897,Wrong Size
4898,Changed Mind
4901,Wrong Size
4910,Changed Mind
4912,Changed Mind
4920,Changed Mind
4934,Wrong Size
4936,Damaged
4942,Damaged
4943,Changed Mind
4945,Changed Mind
4963,Wrong Size
4964,Damaged
4971,Changed Mind
4973,Wrong Size
4976,Wrong Size
4978,Damaged
4979,Changed Mind
4982,Damaged
4986,Wrong Size
4988,Wrong Size
4998,Wrong Size
5001,Wrong Size
5004,Changed Mind
5007,Damaged
5011,Changed Mind
5014,Changed Mind
5026,Changed Mind
5036,Damaged
5048,Wrong Size
5050,Changed Mind
5053,Changed Mind
5059,Damaged
5066,Wrong Size
5073,Damaged
5079,Changed Mind
5082,Wrong Size
5084,Wrong Size
5086,Changed Mind
5095,Wrong Size
5109,Damaged
5114,Wrong Size
5119,Wrong Size
5122,Damaged
5124,Damaged
5125,Wrong Size
5126,Wrong Size
5127,Wrong Size
5132,Changed Mind
5134,Changed Mind
5152,Damaged
5156,Wrong Size
5158,Wrong Size
5168,Damaged
5170,Wrong Size
5172,Changed Mind
5175,Damaged
5177,Changed Mind
5182,Damaged
5185,Changed Mind
5187,Wrong Size
5188,Damaged
5191,Wrong Size
5197,Wrong Size
5200,Wrong Size
5201,Wrong Size
5205,Changed Mind
5206,Wrong Size
5213,Changed Mind
5216,Changed Mind
5224,Changed Mind
5227,Changed Mind
5231,Damaged
5232,Damaged
5242,Changed Mind
5243,Changed Mind
5262,Changed Mind
5267,Wrong Size
5268,Wrong Size
5271,Wrong Size
5274,Damaged
5277,Damaged
5280,Changed Mind
5282,Damaged
5288,Damaged
5290,Changed Mind
5291,Damaged
5292,Changed Mind
5297,Wrong Size
5298,Wrong Size
5304,Wrong Size
5312,Wrong Size
5326,Damaged
5329,Damaged
5331,Changed Mind
5337,Changed Mind
5338,Changed Mind
5343,Wrong Size
5350,Damaged
5354,Wrong Size
5355,Changed Mind
5357,Wrong Size
5359,Changed Mind
5360,Damaged
5361,Wrong Size
5380,Damaged
5383,Wrong Size
5385,Damaged
5398,Wrong Size
5401,Wrong Size
5409,Changed Mind
5412,Wrong Size
5413,Damaged
5414,Changed Mind
5424,Damaged
5427,Damaged
5428,Damaged
5432,Wrong Size
5437,Wrong Size
5444,Wrong Size
5448,Damaged
5457,Changed Mind
5469,Changed Mind
5471,Changed Mind
5475,Changed Mind
5477,Wrong Size
5484,Damaged
5486,Changed Mind
5487,Wrong Size
5490,Wrong Size
5494,Wrong Size
5507,Changed Mind
5510,Changed Mind
5517,Wrong Size
5527,Changed Mind
5532,Damaged
5536,Wrong Size
5537,Changed Mind
5539,Changed Mind
5547,Wrong Size
5551,Wrong Size
5552,Damaged
5556,Changed Mind
5558,Changed Mind
5567,Damaged
5579,Wrong Size
5589,Wrong Size
5601,Damaged
5612,Wrong Size
5616,Damaged
5619,Damaged
5623,Damaged
5624,Wrong Size
5630,Damaged
5635,Damaged
5636,Changed Mind
5637,Damaged
5638,Wrong Size
5642,Wrong Size
5643,Wrong Size
5645,Changed Mind
5653,Damaged
5658,Wrong Size
5659,Wrong Size
5660,Changed Mind
5661,Wrong Size
5662,Wrong Size
5665,Wrong Size
5672,Wrong Size
5676,Changed Mind
5677,Wrong Size
5693,Damaged
5700,Changed Mind
5702,Damaged
5706,Changed Mind
5707,Wrong Size
5710,Wrong Size
5711,Changed Mind
5712,Changed Mind
5716,Wrong Size
5736,Changed Mind
5740,Changed Mind
5741,Wrong Size
5742,Wrong Size
5747,Wrong Size
5750,Changed Mind
5761,Wrong Size
5765,Changed Mind
5767,Changed Mind
5779,Changed Mind
5781,Changed Mind
5783,Damaged
5798,Wrong Size
5806,Damaged
5829,Wrong Size
5832,Damaged
5833,Damaged
5840,Changed Mind
5843,Changed Mind
5844,Changed Mind
5846,Wrong Size
5847,Wrong Size
5850,Damaged
5851,Changed Mind
5854,Changed Mind
5860,Damaged
5861,Damaged
5865,Wrong Size
5872,Wrong Size
5885,Changed Mind
5889,Changed Mind
5891,Changed Mind
5893,Changed Mind
5894,Damaged
5895,Damaged
5898,Changed Mind
5901,Wrong Size
5903,Damaged
5905,Damaged
5908,Wrong Size
5909,Changed Mind
5911,Changed Mind
5918,Damaged
5922,Damaged
5923,Damaged
5926,Damaged
5931,Wrong Size
5932,Wrong Size
5933,Damaged
5940,Changed Mind
5941,Wrong Size
5944,Wrong Size
5948,Changed Mind
5955,Damaged
5956,Damaged
5957,Damaged
5958,Damaged
5964,Changed Mind
5967,Changed Mind
5971,Damaged
5972,Changed Mind
5977,Changed Mind
5981,Changed Mind
5985,Damaged
5992,Damaged
5999,Wrong Size
6004,Damaged
6005,Wrong Size
6007,Changed Mind
6008,Wrong Size
6009,Changed Mind
6011,Damaged
6016,Changed Mind
6022,Changed Mind
6030,Damaged
6033,Wrong Size
6039,Wrong Size
6045,Damaged
6047,Changed Mind
6052,Wrong Size
6053,Wrong Size
6066,Wrong Size
6068,Wrong Size
6076,Damaged
6079,Changed Mind
6082,Wrong Size
6084,Wrong Size
6087,Changed Mind
6091,Changed Mind
6092,Wrong Size
6102,Changed Mind
6111,Wrong Size
6119,Wrong Size
6126,Damaged
6127,Damaged
6139,Wrong Size
6143,Damaged
6150,Wrong Size
6160,Damaged
6161,Damaged
6164,Wrong Size
6169,Damaged
6171,Changed Mind
6178,Damaged
6180,Damaged
6184,Wrong Size
6187,Wrong Size
6191,Damaged
6192,Changed Mind
6194,Changed Mind
6195,Wrong Size
6198,Changed Mind
6199,Wrong Size
6200,Changed Mind
6202,Changed Mind
6203,Damaged
6206,Damaged
6208,Damaged
6209,Wrong Size
6210,Changed Mind
6213,Wrong Size
6220,Changed Mind
6228,Changed Mind
6237,Damaged
6249,Wrong Size
6250,Wrong Size
6259,Wrong Size
